Tahun;Jumlah kunjungan wisatawan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022;383211;;14;2022;383211;;14;14;383211;196;146850670521;5364954;;2022;14;14;383211;12927734,19;3273,53;;;;1;;3273,528993;;;;;;;;2027;29;15087876
2023;10712396;;15;2023;10712396;;15;15;10712396;225;114755428060816;160685940;;2023;15;15;10712396;13071743,64;22,02;;;1;;;22,02446252;;;;;;;;2038;30;15231885
2024;;;;;;;Jumlah;120;180955162;1240;3850215111283890;1487963943;;;;;;AVERAGE MAPE;931,7260042;0;2;3;10;Jumlah;13975,89006;;;;;;;;;;
;;;;;;;;;;;;;;;APE = Absolute Persentage Error;;;;;;;;;;;;;;;;;;;;
;;;b;144009,454;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;a;10911601,838;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Y = a + bX;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Y = 144009,454 + 10911601.838X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
